// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 4 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /Users/cds100/Projects/CodeMazeSourceCode/GRPCvsREST/bin/Release/netcoreapp3.1/cfde9253-421c-4de7-8825-58f7bf658707
// command took 3.55s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /Users/cds100/Projects/CodeMazeSourceCode/GRPCvsREST/bin/Release/netcoreapp3.1/cfde9253-421c-4de7-8825-58f7bf658707
// command took 6.22s and exited with 0
// ***** Done, took 00:00:10 (10.09 sec)   *****
// Found 4 benchmarks:
//   BenchmarkHarness.RestGetSmallPayloadAsync: DefaultJob [IterationCount=100]
//   BenchmarkHarness.GrpcGetSmallPayloadAsync: DefaultJob [IterationCount=100]
//   BenchmarkHarness.RestGetSmallPayloadAsync: DefaultJob [IterationCount=200]
//   BenchmarkHarness.GrpcGetSmallPayloadAsync: DefaultJob [IterationCount=200]

// **************************
// Benchmark: BenchmarkHarness.RestGetSmallPayloadAsync: DefaultJob [IterationCount=100]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "cfde9253-421c-4de7-8825-58f7bf658707.dll" --benchmarkName "RESTvsGRPC.BenchmarkHarness.RestGetSmallPayloadAsync(IterationCount: 100)" --job "Default" --benchmarkId 0 in /Users/cds100/Projects/CodeMazeSourceCode/GRPCvsREST/bin/Release/netcoreapp3.1/cfde9253-421c-4de7-8825-58f7bf658707/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.8 (CoreCLR 4.700.20.41105, CoreFX 4.700.20.41903), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 717240.00 ns, 717.2400 us/op
WorkloadJitting  1: 1 op, 3333056532.00 ns, 3.3331 s/op

WorkloadWarmup   1: 1 op, 631796343.00 ns, 631.7963 ms/op
WorkloadWarmup   2: 1 op, 500045737.00 ns, 500.0457 ms/op
WorkloadWarmup   3: 1 op, 498199110.00 ns, 498.1991 ms/op
WorkloadWarmup   4: 1 op, 482872334.00 ns, 482.8723 ms/op
WorkloadWarmup   5: 1 op, 488566175.00 ns, 488.5662 ms/op
WorkloadWarmup   6: 1 op, 407224582.00 ns, 407.2246 ms/op
WorkloadWarmup   7: 1 op, 420825787.00 ns, 420.8258 ms/op
WorkloadWarmup   8: 1 op, 438690073.00 ns, 438.6901 ms/op
WorkloadWarmup   9: 1 op, 411459828.00 ns, 411.4598 ms/op

// BeforeActualRun
WorkloadActual   1: 1 op, 376236280.00 ns, 376.2363 ms/op
WorkloadActual   2: 1 op, 375989143.00 ns, 375.9891 ms/op
WorkloadActual   3: 1 op, 386677060.00 ns, 386.6771 ms/op
WorkloadActual   4: 1 op, 455159516.00 ns, 455.1595 ms/op
WorkloadActual   5: 1 op, 391216839.00 ns, 391.2168 ms/op
WorkloadActual   6: 1 op, 412945509.00 ns, 412.9455 ms/op
WorkloadActual   7: 1 op, 385763026.00 ns, 385.7630 ms/op
WorkloadActual   8: 1 op, 392937600.00 ns, 392.9376 ms/op
WorkloadActual   9: 1 op, 378216468.00 ns, 378.2165 ms/op
WorkloadActual  10: 1 op, 378153965.00 ns, 378.1540 ms/op
WorkloadActual  11: 1 op, 384264876.00 ns, 384.2649 ms/op
WorkloadActual  12: 1 op, 374129664.00 ns, 374.1297 ms/op
WorkloadActual  13: 1 op, 383678888.00 ns, 383.6789 ms/op
WorkloadActual  14: 1 op, 392691566.00 ns, 392.6916 ms/op
WorkloadActual  15: 1 op, 377100922.00 ns, 377.1009 ms/op
WorkloadActual  16: 1 op, 370612105.00 ns, 370.6121 ms/op
WorkloadActual  17: 1 op, 376119664.00 ns, 376.1197 ms/op
WorkloadActual  18: 1 op, 376226514.00 ns, 376.2265 ms/op
WorkloadActual  19: 1 op, 379102103.00 ns, 379.1021 ms/op

// AfterActualRun
WorkloadResult   1: 1 op, 376236280.00 ns, 376.2363 ms/op
WorkloadResult   2: 1 op, 375989143.00 ns, 375.9891 ms/op
WorkloadResult   3: 1 op, 386677060.00 ns, 386.6771 ms/op
WorkloadResult   4: 1 op, 391216839.00 ns, 391.2168 ms/op
WorkloadResult   5: 1 op, 385763026.00 ns, 385.7630 ms/op
WorkloadResult   6: 1 op, 392937600.00 ns, 392.9376 ms/op
WorkloadResult   7: 1 op, 378216468.00 ns, 378.2165 ms/op
WorkloadResult   8: 1 op, 378153965.00 ns, 378.1540 ms/op
WorkloadResult   9: 1 op, 384264876.00 ns, 384.2649 ms/op
WorkloadResult  10: 1 op, 374129664.00 ns, 374.1297 ms/op
WorkloadResult  11: 1 op, 383678888.00 ns, 383.6789 ms/op
WorkloadResult  12: 1 op, 392691566.00 ns, 392.6916 ms/op
WorkloadResult  13: 1 op, 377100922.00 ns, 377.1009 ms/op
WorkloadResult  14: 1 op, 370612105.00 ns, 370.6121 ms/op
WorkloadResult  15: 1 op, 376119664.00 ns, 376.1197 ms/op
WorkloadResult  16: 1 op, 376226514.00 ns, 376.2265 ms/op
WorkloadResult  17: 1 op, 379102103.00 ns, 379.1021 ms/op

// AfterAll
// Benchmark Process 78321 has exited with code 0

Mean = 381.125 ms, StdErr = 1.650 ms (0.43%), N = 17, StdDev = 6.802 ms
Min = 370.612 ms, Q1 = 376.227 ms, Median = 378.216 ms, Q3 = 385.763 ms, Max = 392.938 ms
IQR = 9.537 ms, LowerFence = 361.922 ms, UpperFence = 400.068 ms
ConfidenceInterval = [374.501 ms; 387.748 ms] (CI 99.9%), Margin = 6.623 ms (1.74% of Mean)
Skewness = 0.45, Kurtosis = 1.84, MValue = 2

// **************************
// Benchmark: BenchmarkHarness.GrpcGetSmallPayloadAsync: DefaultJob [IterationCount=100]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "cfde9253-421c-4de7-8825-58f7bf658707.dll" --benchmarkName "RESTvsGRPC.BenchmarkHarness.GrpcGetSmallPayloadAsync(IterationCount: 100)" --job "Default" --benchmarkId 1 in /Users/cds100/Projects/CodeMazeSourceCode/GRPCvsREST/bin/Release/netcoreapp3.1/cfde9253-421c-4de7-8825-58f7bf658707/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.8 (CoreCLR 4.700.20.41105, CoreFX 4.700.20.41903), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 1453786.00 ns, 1.4538 ms/op
WorkloadJitting  1: 1 op, 1712811659.00 ns, 1.7128 s/op

WorkloadWarmup   1: 1 op, 345988104.00 ns, 345.9881 ms/op
WorkloadWarmup   2: 1 op, 306584996.00 ns, 306.5850 ms/op
WorkloadWarmup   3: 1 op, 295327149.00 ns, 295.3271 ms/op
WorkloadWarmup   4: 1 op, 319612423.00 ns, 319.6124 ms/op
WorkloadWarmup   5: 1 op, 335156642.00 ns, 335.1566 ms/op
WorkloadWarmup   6: 1 op, 269672472.00 ns, 269.6725 ms/op
WorkloadWarmup   7: 1 op, 249382690.00 ns, 249.3827 ms/op
WorkloadWarmup   8: 1 op, 237284902.00 ns, 237.2849 ms/op
WorkloadWarmup   9: 1 op, 236796542.00 ns, 236.7965 ms/op
WorkloadWarmup  10: 1 op, 236517207.00 ns, 236.5172 ms/op
WorkloadWarmup  11: 1 op, 238890217.00 ns, 238.8902 ms/op
WorkloadWarmup  12: 1 op, 237336097.00 ns, 237.3361 ms/op

// BeforeActualRun
WorkloadActual   1: 1 op, 237256855.00 ns, 237.2569 ms/op
WorkloadActual   2: 1 op, 236019070.00 ns, 236.0191 ms/op
WorkloadActual   3: 1 op, 235767116.00 ns, 235.7671 ms/op
WorkloadActual   4: 1 op, 240121862.00 ns, 240.1219 ms/op
WorkloadActual   5: 1 op, 260811125.00 ns, 260.8111 ms/op
WorkloadActual   6: 1 op, 237315674.00 ns, 237.3157 ms/op
WorkloadActual   7: 1 op, 254481470.00 ns, 254.4815 ms/op
WorkloadActual   8: 1 op, 290111465.00 ns, 290.1115 ms/op
WorkloadActual   9: 1 op, 301094127.00 ns, 301.0941 ms/op
WorkloadActual  10: 1 op, 262454284.00 ns, 262.4543 ms/op
WorkloadActual  11: 1 op, 302384558.00 ns, 302.3846 ms/op
WorkloadActual  12: 1 op, 269237054.00 ns, 269.2371 ms/op
WorkloadActual  13: 1 op, 233668720.00 ns, 233.6687 ms/op
WorkloadActual  14: 1 op, 267107508.00 ns, 267.1075 ms/op
WorkloadActual  15: 1 op, 256517244.00 ns, 256.5172 ms/op
WorkloadActual  16: 1 op, 252937801.00 ns, 252.9378 ms/op
WorkloadActual  17: 1 op, 265779552.00 ns, 265.7796 ms/op
WorkloadActual  18: 1 op, 260787163.00 ns, 260.7872 ms/op
WorkloadActual  19: 1 op, 273584830.00 ns, 273.5848 ms/op
WorkloadActual  20: 1 op, 238035995.00 ns, 238.0360 ms/op
WorkloadActual  21: 1 op, 235179078.00 ns, 235.1791 ms/op
WorkloadActual  22: 1 op, 233745325.00 ns, 233.7453 ms/op
WorkloadActual  23: 1 op, 265775482.00 ns, 265.7755 ms/op
WorkloadActual  24: 1 op, 236307079.00 ns, 236.3071 ms/op
WorkloadActual  25: 1 op, 280929985.00 ns, 280.9300 ms/op
WorkloadActual  26: 1 op, 263988674.00 ns, 263.9887 ms/op
WorkloadActual  27: 1 op, 235523489.00 ns, 235.5235 ms/op
WorkloadActual  28: 1 op, 305869939.00 ns, 305.8699 ms/op
WorkloadActual  29: 1 op, 311297185.00 ns, 311.2972 ms/op
WorkloadActual  30: 1 op, 244586916.00 ns, 244.5869 ms/op
WorkloadActual  31: 1 op, 237856840.00 ns, 237.8568 ms/op
WorkloadActual  32: 1 op, 236876745.00 ns, 236.8767 ms/op
WorkloadActual  33: 1 op, 239641717.00 ns, 239.6417 ms/op
WorkloadActual  34: 1 op, 248218346.00 ns, 248.2183 ms/op
WorkloadActual  35: 1 op, 258772077.00 ns, 258.7721 ms/op
WorkloadActual  36: 1 op, 245212262.00 ns, 245.2123 ms/op
WorkloadActual  37: 1 op, 238202841.00 ns, 238.2028 ms/op
WorkloadActual  38: 1 op, 236975600.00 ns, 236.9756 ms/op
WorkloadActual  39: 1 op, 235489825.00 ns, 235.4898 ms/op
WorkloadActual  40: 1 op, 243128310.00 ns, 243.1283 ms/op
WorkloadActual  41: 1 op, 233797185.00 ns, 233.7972 ms/op
WorkloadActual  42: 1 op, 236811402.00 ns, 236.8114 ms/op
WorkloadActual  43: 1 op, 234424592.00 ns, 234.4246 ms/op
WorkloadActual  44: 1 op, 235819810.00 ns, 235.8198 ms/op
WorkloadActual  45: 1 op, 233426066.00 ns, 233.4261 ms/op
WorkloadActual  46: 1 op, 259260066.00 ns, 259.2601 ms/op
WorkloadActual  47: 1 op, 246204448.00 ns, 246.2044 ms/op
WorkloadActual  48: 1 op, 244195414.00 ns, 244.1954 ms/op
