// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 4 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /home/carlos/Projects/code-maze/CodeMazeSourceCode/GrpcVsRest/bin/Release/netcoreapp3.1/07120259-2682-49c1-a46c-4388d1094bda
// command took 1.66s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /home/carlos/Projects/code-maze/CodeMazeSourceCode/GrpcVsRest/bin/Release/netcoreapp3.1/07120259-2682-49c1-a46c-4388d1094bda
// command took 4.41s and exited with 0
// ***** Done, took 00:00:06 (6.19 sec)   *****
// Found 4 benchmarks:
//   BenchmarkHarness.RestGetSmallPayloadAsync: DefaultJob [IterationCount=100]
//   BenchmarkHarness.GrpcGetSmallPayloadAsync: DefaultJob [IterationCount=100]
//   BenchmarkHarness.RestGetSmallPayloadAsync: DefaultJob [IterationCount=200]
//   BenchmarkHarness.GrpcGetSmallPayloadAsync: DefaultJob [IterationCount=200]

// **************************
// Benchmark: BenchmarkHarness.RestGetSmallPayloadAsync: DefaultJob [IterationCount=100]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "07120259-2682-49c1-a46c-4388d1094bda.dll" --benchmarkName "GrpcVsRest.BenchmarkHarness.RestGetSmallPayloadAsync(IterationCount: 100)" --job "Default" --benchmarkId 0 in /home/carlos/Projects/code-maze/CodeMazeSourceCode/GrpcVsRest/bin/Release/netcoreapp3.1/07120259-2682-49c1-a46c-4388d1094bda/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.10 (CoreCLR 4.700.20.51601, CoreFX 4.700.20.51901), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 233068.00 ns, 233.0680 us/op
WorkloadJitting  1: 1 op, 1376715297.00 ns, 1.3767 s/op

WorkloadWarmup   1: 1 op, 451901950.00 ns, 451.9019 ms/op
WorkloadWarmup   2: 1 op, 383670787.00 ns, 383.6708 ms/op
WorkloadWarmup   3: 1 op, 379872474.00 ns, 379.8725 ms/op
WorkloadWarmup   4: 1 op, 350304361.00 ns, 350.3044 ms/op
WorkloadWarmup   5: 1 op, 344378604.00 ns, 344.3786 ms/op
WorkloadWarmup   6: 1 op, 359737353.00 ns, 359.7374 ms/op
WorkloadWarmup   7: 1 op, 349355413.00 ns, 349.3554 ms/op
WorkloadWarmup   8: 1 op, 343759020.00 ns, 343.7590 ms/op
WorkloadWarmup   9: 1 op, 350741745.00 ns, 350.7417 ms/op
WorkloadWarmup  10: 1 op, 335083581.00 ns, 335.0836 ms/op

// BeforeActualRun
WorkloadActual   1: 1 op, 341457537.00 ns, 341.4575 ms/op
WorkloadActual   2: 1 op, 343594004.00 ns, 343.5940 ms/op
WorkloadActual   3: 1 op, 345480439.00 ns, 345.4804 ms/op
WorkloadActual   4: 1 op, 343916186.00 ns, 343.9162 ms/op
WorkloadActual   5: 1 op, 335025333.00 ns, 335.0253 ms/op
WorkloadActual   6: 1 op, 322118869.00 ns, 322.1189 ms/op
WorkloadActual   7: 1 op, 337057716.00 ns, 337.0577 ms/op
WorkloadActual   8: 1 op, 333710257.00 ns, 333.7103 ms/op
WorkloadActual   9: 1 op, 344155031.00 ns, 344.1550 ms/op
WorkloadActual  10: 1 op, 317552567.00 ns, 317.5526 ms/op
WorkloadActual  11: 1 op, 319443155.00 ns, 319.4432 ms/op
WorkloadActual  12: 1 op, 343876436.00 ns, 343.8764 ms/op
WorkloadActual  13: 1 op, 340130723.00 ns, 340.1307 ms/op
WorkloadActual  14: 1 op, 346865363.00 ns, 346.8654 ms/op
WorkloadActual  15: 1 op, 338034327.00 ns, 338.0343 ms/op
WorkloadActual  16: 1 op, 329584236.00 ns, 329.5842 ms/op
WorkloadActual  17: 1 op, 343549344.00 ns, 343.5493 ms/op
WorkloadActual  18: 1 op, 350984553.00 ns, 350.9846 ms/op
WorkloadActual  19: 1 op, 350567136.00 ns, 350.5671 ms/op
WorkloadActual  20: 1 op, 366424506.00 ns, 366.4245 ms/op
WorkloadActual  21: 1 op, 352323617.00 ns, 352.3236 ms/op
WorkloadActual  22: 1 op, 352334262.00 ns, 352.3343 ms/op
WorkloadActual  23: 1 op, 352930043.00 ns, 352.9300 ms/op
WorkloadActual  24: 1 op, 322777162.00 ns, 322.7772 ms/op
WorkloadActual  25: 1 op, 355472267.00 ns, 355.4723 ms/op
WorkloadActual  26: 1 op, 334751004.00 ns, 334.7510 ms/op
WorkloadActual  27: 1 op, 333122517.00 ns, 333.1225 ms/op
WorkloadActual  28: 1 op, 328116526.00 ns, 328.1165 ms/op
WorkloadActual  29: 1 op, 329632205.00 ns, 329.6322 ms/op
WorkloadActual  30: 1 op, 348736484.00 ns, 348.7365 ms/op
WorkloadActual  31: 1 op, 335121457.00 ns, 335.1215 ms/op
WorkloadActual  32: 1 op, 319357397.00 ns, 319.3574 ms/op
WorkloadActual  33: 1 op, 358250202.00 ns, 358.2502 ms/op
WorkloadActual  34: 1 op, 372158793.00 ns, 372.1588 ms/op
WorkloadActual  35: 1 op, 351712106.00 ns, 351.7121 ms/op
WorkloadActual  36: 1 op, 355997031.00 ns, 355.9970 ms/op
WorkloadActual  37: 1 op, 323520577.00 ns, 323.5206 ms/op
WorkloadActual  38: 1 op, 357212469.00 ns, 357.2125 ms/op
WorkloadActual  39: 1 op, 321162599.00 ns, 321.1626 ms/op
WorkloadActual  40: 1 op, 307043460.00 ns, 307.0435 ms/op
WorkloadActual  41: 1 op, 370582173.00 ns, 370.5822 ms/op
WorkloadActual  42: 1 op, 351275417.00 ns, 351.2754 ms/op
WorkloadActual  43: 1 op, 345354721.00 ns, 345.3547 ms/op
WorkloadActual  44: 1 op, 319044495.00 ns, 319.0445 ms/op
WorkloadActual  45: 1 op, 344300506.00 ns, 344.3005 ms/op
WorkloadActual  46: 1 op, 329145889.00 ns, 329.1459 ms/op
WorkloadActual  47: 1 op, 308452628.00 ns, 308.4526 ms/op
WorkloadActual  48: 1 op, 332607915.00 ns, 332.6079 ms/op
WorkloadActual  49: 1 op, 357598239.00 ns, 357.5982 ms/op
WorkloadActual  50: 1 op, 328504992.00 ns, 328.5050 ms/op
WorkloadActual  51: 1 op, 351802536.00 ns, 351.8025 ms/op
WorkloadActual  52: 1 op, 347533471.00 ns, 347.5335 ms/op
WorkloadActual  53: 1 op, 338130901.00 ns, 338.1309 ms/op
WorkloadActual  54: 1 op, 334900192.00 ns, 334.9002 ms/op
WorkloadActual  55: 1 op, 350241867.00 ns, 350.2419 ms/op
WorkloadActual  56: 1 op, 347934665.00 ns, 347.9347 ms/op

// AfterActualRun
WorkloadResult   1: 1 op, 341457537.00 ns, 341.4575 ms/op
WorkloadResult   2: 1 op, 343594004.00 ns, 343.5940 ms/op
WorkloadResult   3: 1 op, 345480439.00 ns, 345.4804 ms/op
WorkloadResult   4: 1 op, 343916186.00 ns, 343.9162 ms/op
WorkloadResult   5: 1 op, 335025333.00 ns, 335.0253 ms/op
WorkloadResult   6: 1 op, 322118869.00 ns, 322.1189 ms/op
WorkloadResult   7: 1 op, 337057716.00 ns, 337.0577 ms/op
WorkloadResult   8: 1 op, 333710257.00 ns, 333.7103 ms/op
